&A-IWDSU+8C37; 谷
&MJ020660; 翁
&MJ020661; 翁
&MJ020676; 翌
&MJ020683; 習
&MJ020687; 翕
&MJ020688; 翕
&MJ020697; 翠
&MJ020717; 翫
&MJ020741; 翼
&MJ020923; 肓
&MJ020928; 肖
&MJ021003; 胞
&MJ021151; 腰
&MJ021256; 臈
&MJ021316; 臼
&MJ021340; 舊
&MJ021341; 舊
&MJ021343; 舌
&MJ021527; 芒
&MJ021537; 芙
&MJ021577; 芫
&MJ021582; 芭
&MJ021598; 芳
&MJ021604; 芷
&MJ021610; 芺
&MJ021616; 芽
&MJ021634; 苑
&MJ021642; 苔
&MJ021648; 苗
&MJ021651; 苙
&MJ021655; 苛
&MJ021657; 苜
&MJ021663; 苟
&MJ021700; 英
&MJ021701; 英
&MJ021709; 苴
&MJ021722; 苻
&MJ021727; 苽
&MJ021729; 苾
&MJ021732; 茀
&MJ021736; 茂
&MJ021739; 范
&MJ021764; 茖
&MJ021826; 茲
&MJ021830; 茴
&MJ021832; 茵
&MJ021834; 茶
&MJ021865; 荅
&MJ021875; 草
&MJ021889; 荏
&MJ021897; 荒
&MJ021910; 荗
&MJ021943; 荼
&MJ021964; 莆
&MJ021972; 莊
&MJ021993; 莖
&MJ022034; 莫
&MJ022061; 菁
&MJ022095; 菓
&MJ022143; 菫
&MJ022150; 華
&MJ022166; 菴
&MJ022194; 萃
&MJ022205; 萈
&MJ022217; 萎
&MJ022222; 萑
&MJ022254; 萬
&MJ022282; 落
&MJ022301; 葉
&MJ022336; 葛
&MJ022351; 葡
&MJ022353; 葢
&MJ022364; 葦
&MJ022395; 葵
&MJ022405; 葺
&MJ022452; 蒙
&MJ022475; 蒦
&MJ022522; 蒿
&MJ022532; 蓄
&MJ022549; 蓋
&MJ022553; 蓍
&MJ022619; 蓴
&MJ022670; 蔑
&MJ022673; 蔓
&MJ022701; 蔡
&MJ022746; 蔽
&MJ022770; 蕉
&MJ022772; 蕊
&MJ022778; 蕎
&MJ022886; 薄
&MJ022940; 薛
&MJ022941; 薛
&MJ022942; 薜
&MJ022971; 薫
&MJ022986; 薰
&MJ023040; 藍
&MJ023044; 藏
&MJ023086; 藥
&MJ023098; 藪
&MJ023123; 藺
&MJ023147; 蘆
&MJ023178; 蘖
&MJ023221; 蘭
&MJ023223; 蘭
&MJ023272; 虎
&MJ024197; 西
&MJ024201; 要
&MJ024203; 覃
&MJ024906; 豕
&MJ024907; 豕
&MJ024936; 豪
&MJ024955; 豹
&MJ025013; 貫
&MJ025289; 距
&MJ025778; 迄
&MJ025793; 迎
&MJ025798; 近
&MJ025838; 迪
&MJ025847; 迮
&MJ025851; 述
&MJ025871; 追
&MJ025878; 退
&MJ025883; 适
&MJ025914; 逑
&MJ025932; 通
&MJ025937; 逝
&MJ025944; 速
&MJ025946; 造
&MJ025952; 逢
&MJ025953; 連
&MJ025979; 進
&MJ025985; 逵
&MJ025990; 逶
&MJ025993; 逸
&MJ026003; 逼
&MJ026015; 遂
&MJ026034; 運
&MJ026039; 遍
&MJ026041; 過
&MJ026060; 達
&MJ026086; 遠
&MJ026094; 遣
&MJ026127; 遲
&MJ026140; 遷
&MJ026180; 還
&MJ026200; 邊
&MJ026239; 那
&MJ026242; 邦
&MJ026367; 鄕
&MJ026434; 酋
&MJ026488; 酸
&MJ027639; 隆
&MJ027675; 隠
&MJ027689; 隨
&MJ027751; 雚
&MJ027752; 雚
&MJ027913; 靜
&MJ027950; 靴
&MJ029807; 麗
&MJ029923; 黨
&MJ030386; 𠂢
&MJ030387; 𠂢
&MJ030427; 𠃤
&MJ030984; 𠔉
&MJ031009; 𠔥
&MJ031736; 𠦌
&MJ031959; 𠫓
&MJ031960; 𠫓
&MJ032097; 𠮓
&MJ033317; 𡕒
&MJ033318; 𡕒
&MJ034308; 𡰫
&MJ037303; 𢽠
&MJ037935; 𣏋
&MJ038948; 𣫞
&MJ041343; 𤰞
&MJ046464; 𦰩
&MJ049545; 𧳯
&MJ056865; 𬼖
&MJ056895; 享
&MJ057001; 𭁠
&MJ057080; 匈
&MJ057282; 𦰩
&MJ057397; 㐬
&MJ057538; 𭟲
&MJ058090; 𭺾
&MJ058590; 𠁅
&MJ058688; 𮕩
&U-00020006; 𠀆
&U-0002008A; 𠂊
&U-0002008E; 𠂎
&U-000200F4; 𠃴
&U-00020B24; 𠬤
&U-000212E1; 𡋡
&U-00021D42; 𡵂
&U-0002215B; 𢅛
&U-000221E6; 𢇦
&U-00022F04; 𢼄
&U-0002314C; 𣅌
&U-000234CF; 𣓏
&U-000244EF; 𤓯
&U-000249B2; 𤦲
&U-000253C7; 𥏇
&U-0002627E; 𦉾
&U-000263C1; 𦏁
&U-000271BE; 𧆾
&U-0002855E; 𨕞
&U-000287FD; 𨟽
&U-0002ADC1; 𪷁
&U-0002F8A7; 慌
&U-0002F8A9; 慌
&U-0002F8AA; 慺
&U-0002F8F0; 𣢧
&U-0002F8FF; 洖
&U-0002F923; 𤘈
&U-0002F94C; 䂖
&U-0002F95A; 穊
&U-0002F95F; 竮
&U-0002F969; 糣
&U-0002F984; 䐋
&U-0002F98C; 舄
&U-0002F9A5; 𦵫
&U-0002F9C9; 裺
&U-i003+76D1; 𰀢
&UU+4096; 䂖
&UU+84F3; 蓳
&UU+9040; 遀
&UU+9929; 餩
&g2-AJ1-03785; 冥
&g2-AJ1-04111; 亢
&g2-MJ006467; 交
&g2-MJ006470; 亥
&g2-MJ007216; 充
&o-IU+2F90B; 滋
&o-UU+4343; 䍃
